chr	pos	strand	ProbeID
chr20	18548094	+	cg11748417
chr12	8559628	-	cg15016354
chr6	136610857	-	cg16162927
chr6	32732247	+	cg23743845
chr5	45696206	-	cg05201970
chr14	22917809	+	cg13716585
chr7	87974722	-	cg27221053
chr6	117002360	-	cg26776742
chr1	53098299	+	cg04882349
chr15	28016515	-	cg25454647
chr15	37110854	+	cg22202401
chr16	3351073	+	cg11720778
chr10	5488225	-	cg01010839
chr3	154958663	+	cg01334229
chr17	48039040	+	cg01512506
chr11	121440247	-	cg24889441
chr10	135002852	-	cg02474600
chr1	86861201	+	cg20280835
chr12	46323656	-	cg12658552
chr20	20433062	+	cg23145794
chr19	1438388	+	cg21956150
chr1	201196147	+	cg04258973
chr12	125359265	+	cg07675647
chr6	34234305	-	cg09787128
chr19	59066632	+	cg16022317
chr6	36931543	-	cg21229337
chr9	131486520	-	cg13487553
chr17	18162121	+	cg01071313
chr8	96387677	-	cg13599051
chr17	74008442	+	cg14127641
chr5	71800767	-	cg12508655
chr1	150530531	+	cg26875450
chr2	239949680	-	cg18368960
chr14	106436764	-	cg11065694
chr11	70858342	-	cg15218096
chr2	241498221	-	cg24958325
chr8	143360290	+	cg00084202
chr8	706845	+	cg10335482
chr14	103989789	-	cg11468522
chr14	50155089	+	cg23418097
chr19	48774640	-	cg14782471
chr3	11034279	-	cg11021744
chr5	1170868	-	cg26665016
chr1	242688591	+	cg18789663
chr1	26147374	+	cg20787693
chr5	79554534	-	cg26075213
chr2	177022056	+	cg25708328
chr1	87112050	-	cg14617014
chr1	2980546	+	cg03969902
chr1	227751410	-	cg21580998
chr22	32749939	-	cg06785129
chr2	233641507	+	cg17297362
chr11	118955635	-	cg25172825
chr3	75712404	-	cg08839697
chr12	31506955	+	cg26073885
chr2	44457733	+	cg26828767
chr6	31830721	+	cg14119437
chr2	204399512	+	cg22949040
chr22	46263018	-	cg14423417
chr1	20696747	-	cg11417178
chr3	52812520	-	cg19784816
chr7	92157604	-	cg12566780
chr3	23245400	-	cg04518972
chr14	100531800	-	cg19918549
chr16	56673389	-	cg06343774
chr8	1309865	-	cg00298921
chr19	48547158	-	cg09422355
chr12	49928924	+	cg19218607
chrX	122696079	+	cg07653550
chr12	54377457	+	cg20403938
chr3	111809470	+	cg16217908
chr19	17414300	+	cg27152443
chr1	212874742	-	cg15718594
chr10	78163703	-	cg03458695
chr1	9437047	-	cg00952054
chr9	16868891	-	cg03291755
chr14	71289522	+	cg18105612
chr10	126706831	-	cg27408262
chr12	76139262	+	cg07209066
chr4	100484905	-	cg23526353
chr7	122384836	-	cg17557464
chr2	95613608	+	cg08236836
chr14	76013186	-	cg10939650
chr2	175440004	-	cg26362616
chr8	124171207	-	cg07745674
chr2	207143489	-	cg17644903
chr16	2030009	-	cg23888450
chr15	63801603	-	cg24702713
chrY	9745678	+	cg00599377
chr17	77904236	+	cg05143842
chr10	124213760	-	cg00676728
chr13	44542478	-	cg09911332
chr1	47016980	-	cg24996866
chr11	46638919	+	cg05613803
chr8	64331042	+	cg18191092
chr9	98054877	-	cg02466749
chr3	143692056	-	cg06585982
chr7	156812941	-	cg24540114
chr15	76483344	+	cg05617483
chr1	246729669	-	cg04307831
chr20	61927203	-	cg21879513
chr10	66311542	-	cg06970200
chr1	156215655	-	cg26022183
chr20	31351171	-	cg21235334
chr9	133535737	+	cg13891765
chr15	22981162	+	cg25124211
chr14	59932113	-	cg14847688
chr6	51846674	-	cg02069723
chr17	10741605	-	cg16824740
chr6	32366070	-	cg18551048
chr4	55095148	-	cg04448477
chr7	2698048	-	cg18006769
chr2	105468274	+	cg20302975
chr6	31126689	-	cg24385709
chr7	119893269	+	cg16476716
chr15	89165046	-	cg00367546
chr19	35940593	-	cg18755094
chr10	1102373	+	cg00471562
chr8	144639591	-	cg10810860
chr19	54210233	+	cg17670263
chr10	100027958	+	cg24163616
chr2	178130115	+	cg17300868
chr16	73419745	-	cg04930001
chrX	54666063	-	cg06514587
chr1	228225533	+	cg04273303
chr2	9474516	+	cg06049021
chr1	159284298	+	cg13507224
chr20	61640357	+	cg04995536
chr12	68800138	-	cg11783364
chr1	156022836	-	cg22796458
chrX	119763941	-	cg15520863
chr17	31254544	-	cg17096412
chr7	155580862	+	cg18664438
chr3	119832292	+	cg22911013
chr7	76023325	+	cg01614764
chr1	9187683	-	cg25003147
chr19	7069483	+	cg13522186
chr11	2176433	+	cg14128708
chr12	104685539	+	cg21651356
chr20	31870888	+	cg16762308
chr5	37064839	-	cg09537600
chr11	31841524	+	cg20512711
chr13	113740629	+	cg09095400
chr2	237982246	+	cg12263377
chr1	201979764	-	cg26328757
chr10	12430937	+	cg10704395
chr13	53643428	-	cg10284406
chr1	228613100	-	cg13771378
chr15	45406534	+	cg02454595
chr1	55351659	-	cg27168858
chr8	122679949	-	cg21001231
chr5	1058239	-	cg08702805
chr10	43048294	+	cg27523141
chr19	6372783	-	cg22049404
chr15	40331866	-	cg06483239
chr4	69215305	-	cg20871904
chr8	27450047	+	cg24592790
chr9	140263615	-	cg21242417
chr1	202792405	-	cg25142586
chr11	27722722	+	cg03747251
chr11	4159839	+	cg22236410
chr15	90895810	-	cg20385120
chr6	32632338	-	cg21493951
chr6	37429401	-	cg16018754
chr5	145895766	-	cg19700872
chr5	122110553	-	cg10699064
chr7	154766961	+	ch.7.3273938R
chr11	78672632	+	cg12245084
chr17	7343105	-	cg00795277
chr7	99214442	-	cg08759689
chr12	132863105	+	cg13068379
chr17	47590272	+	cg26102082
chr12	114878163	-	cg22773899
chr1	7765369	-	cg15211499
chr9	71320601	+	cg12488447
chr13	113439949	+	cg22273355
chr4	720809	-	cg10864200
chr16	65157050	-	cg10065825
chr17	75368750	+	cg22112360
chr3	50648891	+	cg15340526
chr5	156722894	+	cg05027973
chr7	158668706	+	cg03351527
chr19	36504952	+	cg10794550
chr14	90725299	-	cg05912466
chr1	245851226	+	cg10776230
chr6	33285557	+	cg11467331
chr7	179032	-	cg12853656
chr17	74908599	+	cg27093361
chr2	230787847	-	cg11949654
chr13	30095852	+	cg10778996
chr6	43738440	+	cg03775871
chr17	78327823	-	cg04497390
chr11	77532200	-	cg22821606
chr11	103905296	+	cg04142010
chr17	80250935	-	cg20132735
chr4	157997750	+	cg10999932
chr6	170396116	-	cg15022051
chr22	38203677	-	cg12598364
chr10	133039159	+	cg26256560
chr8	1144375	-	cg21462914
chr4	178243783	+	cg09814128
chr11	6281235	+	cg21957616
chr1	100193837	-	cg09370016
chr7	37947061	-	cg23169784
chr19	51128770	-	cg02505267
chrX	56589792	-	cg10009003
chr10	94883021	+	cg00425843
chr14	94547988	+	cg26367448
chr10	93334974	-	cg23697796
chr11	82612617	-	cg16682046
chr19	53039444	-	cg20618441
chr21	16437339	-	cg08843279
chr11	472782	+	cg00593699
chr1	9921621	-	cg03401488
chr13	25645637	+	cg20702683
chr20	31076293	-	cg12368342
chrX	136114890	-	cg07439872
chr12	12869874	-	cg21016902
chr7	73181157	-	cg24311485
chr15	22891467	+	cg10329699
chr1	68301529	-	cg24087736
chr1	52194898	-	cg14279121
chr20	22559676	-	cg06226567
chr14	60097247	-	cg01141940
chr17	2293477	+	cg18413116
chr1	233750184	-	cg11815363
chr10	95661	+	cg09677976
chr2	131186495	+	cg25074493
chr6	35056069	+	cg11629900
chr17	28193399	+	cg08650402
chr10	49892930	-	cg15164194
chr11	124310939	+	cg14620221
chr13	50655696	+	cg05749971
chr2	72376056	-	cg18244289
chr20	5093932	+	cg27495764
chr10	64578186	+	cg14435603
chr19	50902842	+	cg01381637
chr19	3047669	-	cg11979837
chr12	82153109	-	cg07988820
chr1	64936656	-	cg16487794
chr11	125702592	+	cg02978150
chr12	57382283	+	cg26545245
chr4	4145323	+	cg23414580
chr3	43733831	+	cg24595152
chr17	78896437	-	cg21734751
chr8	97340270	+	cg22138393
chr6	19613221	+	cg00642740
chr8	38126910	-	cg12951224
chr12	62585579	-	cg03001945
chr3	195622524	+	cg18716096
chr4	86706228	+	ch.4.1662577R
chr5	63202277	-	cg04206637
chr2	96930398	-	cg04533291
chr1	38279984	+	cg04146137
chr7	26236069	-	cg19142553
chr22	42095347	-	cg20522370
chr3	129129569	+	cg25217347
chr13	114292740	-	cg15271348
chr18	21852118	-	cg19925062
chr16	10837891	-	cg01808090
chr10	128014684	+	cg07080551
chr5	92916593	+	cg18183073
chr6	110965865	-	cg15319210
chr1	15765065	-	cg20858526
chr2	178257565	-	cg06455606
chr17	40172096	-	cg11239019
chr2	45411462	-	cg02929500
chr16	65807673	-	cg02132946
chr10	121398187	+	cg16279544
chr2	61389173	+	cg16430332
chr12	25535797	+	cg26462457
chr2	169069249	-	cg17252489
chr2	233272600	-	cg12437012
chr5	96275355	+	cg10178827
chr14	53619322	-	cg18169128
chr8	77616126	-	cg16495873
chr8	145801240	+	cg07452560
chr12	29090040	-	cg13679842
chr4	1050996	-	cg23139018
chrX	79591129	-	cg02665388
chr1	16821502	-	cg07955741
chr6	31648656	-	cg18581937
chr2	113015451	+	cg02341139
chr7	65706494	+	cg10761316
chr16	31454621	+	cg01318823
chr2	18059454	-	cg20673481
chr10	134236975	+	cg24643922
chr14	21272532	+	cg21908129
chr1	226921576	-	cg05262829
chr8	142010253	+	cg14396066
chr22	49063539	-	cg24222175
chr11	9406117	-	cg22680070
chr19	21646329	-	cg23004160
chr12	131400857	+	cg12128270
chr17	78925543	-	cg03052541
chr17	13789846	+	cg14774009
chr1	2344699	-	cg05461259
chr1	22351256	-	cg17240885
chr4	68829101	-	cg23734503
chr10	78841417	-	cg02614428
chr16	4674926	+	cg06102153
chr3	47350926	-	cg06342957
chr6	27128708	+	cg06027587
chr1	152009084	-	cg03106313
chr7	123484898	+	cg15560337
chr15	40583241	+	cg09233429
chr16	70323471	+	cg06920390
chr17	43482735	+	cg09492169
chr2	234620463	+	cg15299997
chr1	110753221	+	cg21528620
chr1	16393791	-	cg18800143
chr6	32057761	+	cg07377172
chr7	112130309	+	cg05499641
chr4	8536117	+	cg21431929
chr16	85193529	+	cg00011605
chr2	75426786	+	cg03286235
chr10	112256517	-	cg12323347
chr15	34355300	-	cg27275698
chr8	11141895	-	cg07725729
chr17	48347164	+	cg18760496
chr3	124570104	+	cg07249742
chr5	892713	+	cg25951128
chrX	40439693	+	cg00902308
chr7	31003525	+	cg07918174
chr13	25081063	-	cg12075849
chr1	246203683	-	cg16110314
chr4	25915922	-	cg13808325
chr8	8178889	+	cg02527252
chr1	228502644	-	cg05364747
chr17	64599478	-	cg27019712
chrY	20488293	-	cg04170994
chrX	131543695	-	cg13781721
chr17	4737022	+	cg17463508
chr3	172233778	-	cg22882684
chr3	150810969	-	cg05985407
chr19	55790967	-	cg16013006
chr6	43952511	+	cg05552490
chr1	152010113	+	cg16165294
chr12	6250507	-	cg25774608
chr12	19592651	+	cg02664216
chr7	98475809	+	cg05572568
chr16	2587080	+	cg14444710
chr4	110837358	+	cg10269431
chr4	103967986	+	cg07932102
chr7	158808009	+	cg09782026
chr2	51228125	+	cg15573998
chr1	3569386	-	cg16741710
chr1	665298	+	cg07264491
chrX	48980153	-	cg00216997
chr6	28496405	-	cg08944443
chr22	43898597	-	cg02261346
chr6	35403738	+	cg11174173
chr13	113486631	+	cg08831528
chr3	150690456	+	cg21361134
chr22	18483192	-	cg02610425
chr16	73602654	-	cg02070113
chr12	13028038	+	cg06014227
chr11	73073652	+	cg10424462
chr17	1111345	+	cg18777774
chr3	5067232	-	cg08653258
chr10	369137	-	cg01552777
chr9	130700923	+	cg14395885
chr22	43578698	+	cg03052856
chr3	48237586	-	cg14955261
chr12	53268268	-	cg17419626
chr22	25201954	-	cg10980759
chr2	178973147	+	cg26389888
chr20	2451571	+	cg09287434
chr3	51740201	-	cg13139998
chr16	1339782	+	cg09192369
chr1	62902681	-	cg07105657
chr18	77905408	-	cg19774868
chr16	87417326	+	cg06402602
chr2	2864572	+	cg18204334
chr5	179813829	-	cg18526916
chr16	2771425	+	cg00286214
chr6	135376917	+	cg03740333
chr7	128612087	+	ch.7.2660938R
chr2	242946557	+	cg20076240
chr10	135096710	-	cg04148489
chr7	33149114	+	cg14291194
chr9	20684768	+	cg13517516
chr15	25477956	-	cg10092080
chr1	53679725	-	cg11411929
chr9	37340211	+	cg13595739
chr17	80856057	-	cg11449408
chr18	11590106	+	ch.18.265776F
chr13	27843690	+	cg01087195
chr13	40107605	+	cg02710723
chr1	43148457	-	cg15472574
chr4	77611020	+	cg03712476
chr13	42535448	+	cg02995055
chr1	224034478	-	cg11145399
chr7	154001891	+	cg06002683
chr3	170588302	-	cg00320862
chr17	140716	-	cg20718570
chr21	47519444	+	cg18322321
chr19	49437267	+	cg19851401
chr14	23292277	+	cg18764513
chr17	35292390	-	cg26946821
chr6	19837319	+	cg17305436
chr12	72148515	-	cg24170269
chr4	100273995	-	cg00689360
chr11	32851087	+	cg01978549
chr8	55047683	-	cg24665761
chr8	10753237	+	cg26075742
chr14	101459254	+	cg19591908
chr11	369155	+	cg19787465
chr3	180630780	-	cg19678270
chr19	10691765	+	cg23652172
chr12	7287822	+	cg04539775
chr4	3519929	-	cg12712270
chr2	27011850	+	cg10480329
chr16	88569320	+	cg00946979
chr1	207224982	+	cg24040043
chr19	58514816	-	cg05377415
chr18	32924550	+	cg05422369
chr9	116841084	+	cg25420952
chr2	127733882	+	cg03516358
chr2	233896119	-	cg20795863
chr2	238832508	+	cg21122225
chr1	234792390	-	cg10881749
chr5	141705351	+	cg02488288
chr6	37225644	-	cg14414819
chr20	30467611	-	cg25296982
chr10	3063192	+	cg15039604
chr14	106188793	-	cg04334235
chr1	183390353	+	cg17134770
chr8	14660063	-	cg01750716
chr5	136112615	-	cg08531890
chr3	39423611	+	cg13621925
chr16	2479319	-	cg03250656
chr3	194136354	+	ch.3.3822654R
chr15	69590937	+	cg00642615
chr12	52652462	-	cg15074033
chr22	49935090	+	cg14370079
chr18	57363081	-	cg23903160
chr6	30131840	+	cg01905142
chr10	6276135	+	cg14037189
chr7	30634158	+	cg13035437
chr8	142483022	-	cg19593660
chr16	1142347	+	cg10072611
chr17	27406907	-	cg04367395
chr7	64349915	+	cg16681239
chr7	56439703	-	cg03217800
chr6	83073964	-	cg08478195
chr19	11310131	+	cg21640603
chr2	237068072	-	cg04882397
chr17	36997563	+	cg04487205
chr10	38908948	+	cg11115267
chr7	70962720	-	cg20270653
chr3	125820924	-	cg23085666
chr20	55975578	+	cg00186499
chr19	10792991	+	cg03221702
chr1	1478665	+	cg21173317
chr4	119606443	+	cg01729388
chr8	126082720	-	cg16593865
chr7	138818597	+	cg11204444
chr8	146225908	+	cg26816023
chr5	21459800	-	cg22398566
chr12	3601306	-	cg08622677
chr22	19362054	+	ch.22.78028F
chr21	46845775	-	cg02706881
chr4	126662821	+	cg24641829
chr5	139145322	-	cg19987142
chr8	1051703	+	cg02677286
chr8	143833962	-	cg18493182
chr4	39408418	+	cg22953731
chr16	29000920	+	cg07953307
chr1	94561088	-	cg14014879
chr18	45936214	-	cg22331017
chr16	47494711	-	cg01852244
chr6	7231857	+	cg24649269
chr13	19172215	-	cg06997228
chr17	79980611	-	cg16375728
chrX	49593824	+	cg03675615
chr3	143567031	+	cg23538718
chr15	64126094	+	cg26394572
chr21	37508476	-	cg01325840
chr19	36207871	+	cg24471867
chr15	41576519	+	cg01768344
chr20	25128770	-	cg11632685
chr16	30671644	-	cg04232972
chr3	19307629	-	cg09589308
chr4	155661758	-	cg03065175
chr11	132031665	+	cg02516944
chr7	151215566	-	cg20495206
chr1	26719057	+	cg10238587
chr8	18871440	-	cg14860917
chr11	1299291	-	cg17578755
chr20	31407338	-	cg11800794
chr4	72903841	-	cg15264404
chr14	90096812	-	cg13784460
chr10	134925902	-	cg17577701
chr7	157890171	-	cg01731811
chr1	167523555	+	cg13501279
chr11	3112303	-	cg16507827
chr3	72936145	+	cg01285164
chr3	8979651	+	cg23736989
chr1	70820072	-	cg19746906
chr8	75542856	+	cg22993706
chr19	52217022	-	cg07645486
chr16	86331813	+	cg07951728
chr1	248903323	+	cg03541887
chr11	67085326	+	cg16933664
chrX	153059903	+	cg07187289
chr17	71088962	-	cg04240077
chr1	230805169	-	cg00892397
chr19	31767186	+	cg14017942
chr2	1609194	+	cg13529733
chr7	1398209	+	cg12344373
chr7	100449993	-	cg27352136
chr6	33141824	+	cg00936309
chr6	24642024	+	cg03313815
chr1	151020385	+	cg17835477
chr11	2584917	+	cg08920458
chr3	75412866	+	cg26430588
chrX	49158640	+	cg14918358
chr12	57089626	+	cg14898147
chr2	176986460	-	cg08363794
chr20	62289557	-	cg24092470
chr1	64935169	+	cg03068051
chr8	135845050	+	cg09928842
chr7	65971710	+	cg19311253
chr17	8336232	-	cg02574801
chr14	105350915	-	cg26337624
chr7	6311412	+	cg06297642
chr2	174913188	-	cg06318624
chr17	1970514	+	cg14792548
chr2	28612965	-	cg17952719
chr15	38544593	-	cg00723619
chr5	134369929	-	cg23341163
chr5	72510954	+	cg06679694
chr17	900143	+	cg17743580
chr15	74880160	-	cg00638992
chr10	119652942	+	cg14687785
chr13	73633178	-	cg00252332
chr1	37780753	-	cg02396836
chr9	107757388	+	cg14327063
chr2	14773457	+	cg14789259
chr17	5800501	+	cg10372920
chr2	220333756	+	cg23712156
chr9	3180374	-	cg00716016
chr1	2937246	-	cg13871495
chr11	94579436	-	cg18010302
chr2	232790981	-	cg15645220
chr1	1460663	+	cg24466671
chr19	12998099	-	cg15866047
chr12	129572610	+	cg01909103
chr16	21769296	-	cg27192602
chr10	12111641	+	cg22531715
chr1	245134786	-	cg21454516
chr11	6440931	+	cg06805557
chr22	37962818	+	cg02567958
chr17	59226714	+	cg15285436
chr19	58090279	-	cg23294388
chr7	86849011	+	cg20305142
chr19	53793036	-	cg03295956
chr13	114862887	+	cg01527486
chr5	72528678	+	cg15931168
chr17	1958002	+	cg02964474
chr6	28891204	-	cg03270340
chrX	109557508	-	cg21808407
chr7	107386512	+	cg04276007
chr8	119964144	+	cg17293641
chr12	32813468	-	cg27612821
chr5	64858845	+	cg18192574
chr20	62601743	+	cg26760212
chrX	38186472	+	cg24741392
chr14	44004546	-	cg19635188
chr4	13548336	+	cg17809748
chr8	60627336	+	cg07270021
chrX	70151209	+	cg13857811
chr6	56911409	-	cg07657142
chr6	32142147	+	cg24433302
chr9	6704178	+	cg14363146
chr7	154586335	+	cg17843376
chr4	4859985	-	cg07462756
chr6	24774963	-	cg06281719
chr4	53816338	-	cg15035145
chr10	105419293	-	cg13634090
chr2	10148773	+	cg13716880
chr3	11746491	+	cg25965498
chr14	74893169	+	cg21931419
chr12	6858533	-	cg09915978
chr2	177534417	-	cg15169121
chr7	81240667	-	cg16395457
chr12	40938571	-	cg26081584
chr5	10583443	-	cg09638070
chr22	31536784	+	cg17733820
chr1	167906354	-	cg07826235
chr6	33237467	-	cg12436008
chr11	93277161	+	cg06549238
chr15	66332831	-	cg25858296
chr3	104222126	-	cg25010771
chr20	32899771	+	cg03876823
chr14	57272340	+	cg20278291
chr8	818778	-	cg19790352
chr16	30960101	-	cg05958702
chr3	150140075	+	cg10735582
chr1	36807572	-	cg06100445
chr16	34430837	-	cg01444849
chr3	137487932	-	cg08060454
chr19	46305728	-	cg23385575
chr6	164256105	+	cg11381754
chr1	163392923	+	cg24596788
chr7	11871535	+	cg26616283
chr19	45908329	-	cg24415941
chr20	591400	+	cg06143901
chr9	6932042	+	cg13641645
chr20	23669241	+	cg20479054
chr10	80890238	-	cg07798593
chr4	991553	-	cg15750461
chr8	70983760	+	cg21255438
chr8	133493200	-	cg13609667
chr1	38100795	+	cg22063989
chr13	114882877	+	cg07709314
chr10	102989598	+	cg00064235
chr13	50265193	+	cg13329852
chr2	161263709	-	cg05263743
chr1	248512075	-	cg13819577
chr3	169529701	-	cg08193579
chr7	128828512	-	cg19015909
chr18	77245922	-	cg18935516
chr7	82541	+	cg01433527
chr8	135614777	-	cg21672855
chr5	147040725	-	cg06736134
chr6	29580340	+	cg15370577
chr1	91195213	+	cg00910518
chr7	155936080	+	cg22636840
chr4	7289763	+	cg15594605
chr7	4751873	+	cg23318967
chr11	36509910	+	cg04314978
chr13	95360278	+	cg04730685
chr6	29768250	+	cg06154159
chr11	110167568	-	cg25166381
chrX	48334539	-	cg07867687
chr7	1388337	+	cg06057656
chr6	168704154	-	cg24123116
chr15	90750492	+	ch.15.1556816R
chr17	7232547	+	cg18562525
chr20	31046836	+	cg06813782
chr8	98194116	+	cg11185991
chr5	17491469	-	cg17035795
chr11	117198998	-	cg14693487
chr5	140515629	+	cg11347033
chr1	202114085	+	cg04364194
chr20	3185301	-	cg20256097
chr10	7652712	-	cg03432241
chr1	229939392	+	ch.1.228006015R
chr7	140098460	+	cg24119612
chr1	223407010	-	cg14096207
chr6	10695099	-	cg26452244
chr1	63154668	-	cg04022724
chr16	4289562	-	cg01792616
chr12	133302138	+	cg04561883
chr12	125431744	+	cg15355713
chr16	89072984	-	cg05281126
chr2	88352949	-	cg12691004
chr7	100895581	-	cg20459407
chr3	33429950	-	cg07887891
chr17	41440717	-	cg07153921
chr1	34642383	-	cg10431747
chr2	232469534	+	cg08382497
chr14	73358816	+	cg10158093
chr11	1580098	+	cg02248763
chr6	169602172	-	cg13800240
chr13	96204493	+	cg18470456
chr2	100252968	-	cg02518546
chr3	195491882	+	cg12300288
chr15	81282487	-	cg02643343
chr19	4067154	+	cg18303175
chr13	113732896	+	cg18648570
chr6	30640754	-	cg02087923
chr19	49458596	-	cg26673286
chr19	49576955	-	cg27435138
chr16	54322127	-	cg07336350
chr4	170679646	+	cg26927939
chr20	61340116	-	cg01539036
chr16	48125057	+	cg04098547
chr11	64972115	-	cg16697977
chr1	98510865	+	cg26924294
chr16	89480222	-	cg09222577
chr12	34528313	-	cg24707404
chr2	113012627	-	cg27242549
chr19	36488813	+	cg26370959
chr10	134905361	+	cg27532754
chr1	29585898	-	cg00914222
chr6	32489203	-	cg01341801
chr12	72233324	-	cg14337085
chr16	85833413	+	cg00522384
chr3	56588801	+	cg16207084
chr10	133651747	-	cg01300434
chr5	180455248	+	cg01076970
chr19	1510107	-	cg21732625
chr11	1446802	+	cg21919719
chr8	144824625	-	cg12137473
chr6	150260156	-	cg03538169
chr10	105206636	-	cg23576723
chr10	56561124	-	cg25592910
chr12	1499803	+	cg02637530
chr8	41556933	+	cg14445914
chr7	1694909	-	cg10065792
chr17	1374948	-	cg08676455
chr14	57857589	-	cg14182682
chr15	92105283	+	cg02259760
chr14	102677141	-	cg05398700
chr8	39950015	+	cg10139476
chr6	30523418	-	cg18221028
chr6	109191345	+	ch.6.2134092F
chr1	51887613	-	cg21366602
chr2	9983859	-	cg16692761
chr1	149979253	-	cg08858295
chr7	144049427	+	cg01046377
chr20	34253082	-	cg18497960
chr9	79521082	+	cg14489366
chr2	161236088	+	cg00760729
chr20	60371478	-	cg18864882
chr3	130682432	+	cg08009313
chr9	133556841	+	cg15033036
chr1	84819379	+	cg22343327
chr4	169480345	-	cg16373817
chr8	101315846	+	cg25516633
chr1	162348472	-	cg10113864
chr1	238055429	+	cg03673470
chr14	22217085	+	cg02257791
chr15	78349349	-	cg15398488
chr2	43546568	-	cg25470324
chr19	15292440	-	cg17519949
chr12	10366500	-	cg13014531
chr16	10934709	-	cg08707847
chr2	137181418	+	cg05980200
chr2	113956531	-	cg04177132
chr9	135282273	+	cg13684188
chr15	41080358	-	cg09091752
chr2	12147206	-	cg09070191
chr4	8442503	+	cg13057196
chr5	119942454	+	cg09459548
chr2	174829294	-	cg13465488
chr5	52283121	-	cg03455284
chr12	111473641	-	cg16241421
chr14	73924401	-	cg26378183
chr19	2867753	+	cg19636861
chr20	61001775	-	cg11154879
chr3	12988976	+	cg10761425
chr1	43429380	+	cg00568910
chr19	51505779	+	cg26651782
chr19	8666075	-	cg15503625
chr15	85774499	+	cg23105183
chr1	4835298	-	cg00859330
chr6	130339617	-	cg08106148
chr3	79375119	+	cg16861959
chrX	70443093	-	cg04323365
chr15	59785236	-	cg04099524
chr11	63851177	-	cg16510099
chr16	765670	-	cg04578660
chr7	104654041	+	cg09370462
chr2	120770398	-	cg19189459
chr2	127950725	+	cg11524128
chr11	409934	+	cg26201535
chr3	46950416	+	cg13011604
chr17	38245719	-	cg07805952
chr6	166799902	-	cg14135272
chr2	119910430	+	cg10775000
chr6	151413946	-	cg13748794
chr1	7765564	-	cg14157073
chr17	18012014	-	cg04901053
chr2	238617524	+	cg03030419
chr3	16411667	+	cg11643285
chr6	151188259	+	cg16336494
chr4	39529410	-	cg06860618
chr6	157802504	-	cg24443054
chr1	163941078	+	ch.1.162207702R
chr7	156837580	-	cg11464806
chr5	174961197	-	cg21776403
chr9	125874627	+	cg13930811
chr5	140503531	-	cg22793065
chr17	62307787	+	cg09562938
chr10	62488850	+	cg01033191
chr4	148603008	+	cg00400743
chr8	1281696	+	cg16518348
chr16	72817808	+	cg05227773
chr3	50330110	+	cg22539505
chr20	3063238	-	cg14065127
chrX	153996718	+	cg03028851
chr11	112916105	-	cg11994052
chr4	54461431	+	cg23939182
chr15	62359275	+	cg09915444
chr20	897545	-	cg03639897
chr12	85307424	-	cg09892273
chr1	21503432	-	cg08463298
chr17	79658824	+	cg25832551
chr13	107354903	+	cg02444118
chr16	3233912	+	cg10543982
chr17	37081875	+	cg08388455
chr12	15114387	+	cg16393012
chr9	114658195	-	cg01472113
chr10	88729315	+	cg17792740
chr5	42943857	-	cg03124514
chrX	154059139	-	cg10276171
chr1	6036414	+	cg15550953
chr9	134152531	+	cg12998491
chr7	120568156	-	cg25468966
chr15	29963223	+	cg21576187
chr7	5258428	-	cg05639533
chrX	107019430	+	cg24142775
chr7	17812356	+	cg21972431
chr9	127171934	-	cg13403636
chr22	50523790	-	cg08660915
chr5	177890863	+	cg23984294
chr5	140345461	+	cg02357321
chr11	91958458	-	cg21825879
chrX	64196642	+	cg27326620
chr4	147866863	+	cg14825729
chr19	1098580	-	cg10826956
chr19	796826	-	cg17942371
chr17	3868004	-	cg22892328
chr12	56727386	+	cg00224312
chr2	231276363	+	cg08192414
chr7	112120730	+	cg26526503
chr2	178129829	-	cg06141123
chr2	207116070	+	cg25535070
chr16	70759994	+	cg07671622
chr12	104234975	+	cg15977278
chr17	74732859	+	cg27107446
chr3	46906118	+	cg05725703
chr18	14998834	+	cg25284710
chr9	77282233	-	cg13897388
chr20	47835458	-	cg23499977
chr7	100252863	-	cg03369957
chr1	15386856	-	cg12436612
chr10	93683445	-	cg04350610
chr8	142285223	+	cg01599714
chr12	2921865	-	cg03402805
chr10	48439220	+	cg20186445
chr3	43020703	+	cg04474990
chr16	69200251	-	cg08327038
chr15	40187233	-	cg18170934
chr6	162524735	+	cg24410945
chr10	70716161	-	cg00270594
chr10	64564266	+	cg09164955
chr17	74534550	+	cg21301440
chr10	121079244	-	cg13898290
chr15	93447822	+	cg16623755
chr7	116593353	+	cg25968876
chr6	32489553	-	cg08188015
chr11	112752148	+	cg25494075
chr14	23527317	-	cg23946709
chrX	50213977	-	cg05922253
chr11	300772	-	cg00714343
chr15	20657802	+	cg21950609
chr12	51612794	-	cg10377582
chrX	25034220	-	cg14514403
chr4	95762633	-	cg20756175
chr10	38186226	+	cg03474461
chr11	125439061	-	cg09451763
chr12	75601803	+	cg25820699
chr3	5163878	-	cg13297988
chr9	139659038	+	cg14164262
chr3	150479084	+	cg16963852
chr6	30923750	-	cg20172724
chr7	13805304	-	cg26572710
chr1	170114481	+	cg20742415
chr16	326064	+	cg01155930
chr9	107526202	-	cg14392031
chr2	3469212	+	cg06529996
chr19	36427174	-	cg25050841
chr8	37824080	+	cg03103178
chr17	56834361	-	cg17330305
chr15	22972775	+	cg12285911
chr2	64033573	+	cg22731638
chr16	87445639	+	cg08374472
chrX	100184268	-	cg01543116
